INSERT into coach values(650, 66, 'f3', '3A');
INSERT into coach values(736, 40, 'f1', '3A');
INSERT into coach values(974, 75, 'f2', '2A');
INSERT into coach values(859, 75, 'f4', '1A');
INSERT into coach values(664, 44, 'f4', '3B');
INSERT into coach values(297, 76, 'f3', '2B');
INSERT into coach values(631, 56, 'f3', '2A');
INSERT into coach values(848, 68, 'f4', '3A');
INSERT into coach values(172, 80, 'f1', '3A');
INSERT into coach values(507, 56, 'f1', '1A');
INSERT into coach values(277, 76, 'f2', '2C');
INSERT into coach values(866, 82, 'f1', '1B');
INSERT into coach values(569, 86, 'f4', '1A');
INSERT into coach values(819, 80, 'f1', '3A');
INSERT into coach values(223, 54, 'f3', '3A');
INSERT into coach values(240, 51, 'f2', '3A');
INSERT into coach values(121, 51, 'f2', '1C');
INSERT into coach values(389, 52, 'f1', '2A');
INSERT into coach values(700, 78, 'f4', '3A');
INSERT into coach values(662, 66, 'f1', '3C');
INSERT into coach values(453, 66, 'f4', '3C');
INSERT into coach values(736, 59, 'f2', '3A');
INSERT into coach values(709, 53, 'f4', '1A');
INSERT into coach values(491, 73, 'f1', '3C');
INSERT into coach values(939, 68, 'f3', '2A');
INSERT into coach values(488, 73, 'f3', '2B');
INSERT into coach values(131, 65, 'f4', '2B');
INSERT into coach values(724, 52, 'f3', '1B');
INSERT into coach values(630, 64, 'f3', '1A');
INSERT into coach values(582, 42, 'f1', '2C');
INSERT into coach values(163, 72, 'f3', '1C');
INSERT into coach values(725, 53, 'f1', '1C');
INSERT into coach values(144, 48, 'f3', '3C');
INSERT into coach values(283, 67, 'f1', '1A');
INSERT into coach values(472, 75, 'f4', '2C');
INSERT into coach values(587, 78, 'f4', '3B');
INSERT into coach values(219, 43, 'f4', '2A');
INSERT into coach values(277, 49, 'f4', '1B');
INSERT into coach values(141, 84, 'f4', '2A');
INSERT into coach values(949, 62, 'f4', '2C');
INSERT into coach values(632, 65, 'f2', '1B');
INSERT into coach values(445, 51, 'f4', '2C');
INSERT into coach values(651, 64, 'f1', '3C');
INSERT into coach values(857, 46, 'f3', '1A');
INSERT into coach values(606, 60, 'f3', '2A');
INSERT into coach values(771, 84, 'f4', '1A');
INSERT into coach values(100, 63, 'f2', '3B');
INSERT into coach values(867, 52, 'f4', '2C');
INSERT into coach values(888, 90, 'f3', '3B');
INSERT into coach values(730, 41, 'f2', '3C');
INSERT into coach values(664, 89, 'f2', '3A');
INSERT into coach values(689, 47, 'f2', '1A');
INSERT into coach values(788, 50, 'f2', '3B');
INSERT into coach values(317, 85, 'f3', '1C');
INSERT into coach values(660, 73, 'f1', '1C');
INSERT into coach values(519, 69, 'f2', '2B');
INSERT into coach values(132, 90, 'f4', '2A');
INSERT into coach values(729, 75, 'f1', '1B');
INSERT into coach values(304, 78, 'f2', '2A');
INSERT into coach values(459, 85, 'f2', '2B');
INSERT into coach values(648, 52, 'f4', '2A');
INSERT into coach values(196, 84, 'f2', '3A');
INSERT into coach values(572, 55, 'f4', '1B');
INSERT into coach values(899, 87, 'f1', '3A');
INSERT into coach values(126, 55, 'f2', '1A');
INSERT into coach values(658, 68, 'f2', '1A');
INSERT into coach values(477, 85, 'f3', '3C');
INSERT into coach values(886, 52, 'f4', '3C');
INSERT into coach values(579, 70, 'f1', '2C');
INSERT into coach values(576, 46, 'f3', '1B');
INSERT into coach values(484, 47, 'f4', '3B');
INSERT into coach values(285, 82, 'f4', '2B');
INSERT into coach values(352, 43, 'f1', '2C');
INSERT into coach values(644, 44, 'f3', '2A');
INSERT into coach values(580, 46, 'f3', '3A');
INSERT into coach values(281, 54, 'f1', '3A');
INSERT into coach values(431, 70, 'f4', '1C');
INSERT into coach values(971, 63, 'f1', '3B');
INSERT into coach values(563, 72, 'f4', '1A');
INSERT into coach values(799, 87, 'f4', '2C');
INSERT into coach values(257, 65, 'f1', '2C');
INSERT into coach values(359, 51, 'f2', '3B');
INSERT into coach values(174, 45, 'f4', '2A');
INSERT into coach values(449, 81, 'f2', '3A');
INSERT into coach values(983, 89, 'f2', '2C');
INSERT into coach values(320, 42, 'f3', '3B');
INSERT into coach values(154, 85, 'f1', '3B');
INSERT into coach values(356, 61, 'f3', '2A');
INSERT into coach values(883, 60, 'f4', '1A');
INSERT into coach values(460, 72, 'f2', '2B');
INSERT into coach values(284, 70, 'f2', '3A');
INSERT into coach values(912, 50, 'f1', '3A');
INSERT into coach values(504, 49, 'f1', '3B');
INSERT into coach values(711, 55, 'f4', '1A');
INSERT into coach values(781, 57, 'f3', '2A');
INSERT into coach values(263, 42, 'f4', '1B');
INSERT into coach values(951, 44, 'f4', '1C');
INSERT into coach values(583, 72, 'f3', '2B');
INSERT into coach values(574, 59, 'f2', '2A');
INSERT into coach values(647, 81, 'f2', '3A');
INSERT into coach values(210, 75, 'f2', '3C');
INSERT into coach values(400, 65, 'f4', '1A');
INSERT into coach values(667, 86, 'f3', '2B');
INSERT into coach values(563, 75, 'f4', '2A');
INSERT into coach values(672, 70, 'f3', '3B');
INSERT into coach values(963, 44, 'f1', '1C');
INSERT into coach values(957, 88, 'f1', '2B');
INSERT into coach values(811, 68, 'f4', '3C');
INSERT into coach values(376, 60, 'f1', '2A');
INSERT into coach values(925, 49, 'f4', '2A');
INSERT into coach values(737, 45, 'f3', '3B');
INSERT into coach values(107, 60, 'f4', '3A');
INSERT into coach values(735, 87, 'f3', '3A');
INSERT into coach values(546, 55, 'f4', '2C');
INSERT into coach values(368, 88, 'f2', '1B');
INSERT into coach values(586, 70, 'f4', '1B');
INSERT into coach values(496, 60, 'f2', '1A');
INSERT into coach values(953, 59, 'f2', '2A');
INSERT into coach values(934, 73, 'f1', '2C');
INSERT into coach values(341, 45, 'f1', '1A');
INSERT into coach values(314, 40, 'f2', '2A');
INSERT into coach values(754, 60, 'f4', '3A');
INSERT into coach values(215, 78, 'f1', '1B');
INSERT into coach values(962, 70, 'f4', '1A');
INSERT into coach values(314, 64, 'f4', '3B');
INSERT into coach values(375, 61, 'f1', '2A');
INSERT into coach values(751, 47, 'f2', '1B');
INSERT into coach values(150, 73, 'f2', '3C');
INSERT into coach values(451, 70, 'f2', '3A');
INSERT into coach values(267, 62, 'f3', '2A');
INSERT into coach values(508, 49, 'f4', '2C');
INSERT into coach values(519, 66, 'f4', '3C');
INSERT into coach values(799, 49, 'f1', '3B');
INSERT into coach values(839, 64, 'f4', '1C');
INSERT into coach values(674, 56, 'f3', '1B');
INSERT into coach values(741, 70, 'f3', '1A');
INSERT into coach values(589, 57, 'f4', '3C');
INSERT into coach values(663, 63, 'f1', '1C');
INSERT into coach values(614, 62, 'f1', '1A');
INSERT into coach values(888, 90, 'f2', '2B');
INSERT into coach values(364, 81, 'f4', '3B');
INSERT into coach values(373, 44, 'f2', '2A');
INSERT into coach values(439, 45, 'f4', '1B');
INSERT into coach values(968, 58, 'f4', '1A');
INSERT into coach values(546, 63, 'f3', '1B');
INSERT into coach values(525, 67, 'f2', '1C');
INSERT into coach values(360, 61, 'f1', '1B');
INSERT into coach values(602, 72, 'f4', '1C');
INSERT into coach values(553, 49, 'f2', '1C');
INSERT into coach values(229, 45, 'f3', '2B');
INSERT into coach values(829, 58, 'f3', '1A');
INSERT into coach values(271, 58, 'f3', '2B');
INSERT into coach values(324, 87, 'f3', '1C');
INSERT into coach values(298, 63, 'f4', '2B');
INSERT into coach values(765, 50, 'f4', '2A');
INSERT into coach values(103, 71, 'f1', '3C');
INSERT into coach values(666, 45, 'f1', '2C');
INSERT into coach values(785, 54, 'f3', '2B');
INSERT into coach values(213, 70, 'f1', '2B');
INSERT into coach values(436, 44, 'f1', '2A');
INSERT into coach values(107, 53, 'f1', '2C');
INSERT into coach values(895, 68, 'f2', '2C');
INSERT into coach values(494, 82, 'f2', '2B');
INSERT into coach values(489, 88, 'f4', '3A');
INSERT into coach values(254, 52, 'f2', '2B');
INSERT into coach values(966, 88, 'f1', '1C');
INSERT into coach values(249, 66, 'f3', '1C');
INSERT into coach values(796, 85, 'f4', '3C');
INSERT into coach values(547, 64, 'f3', '2C');
INSERT into coach values(753, 67, 'f3', '3B');
INSERT into coach values(228, 40, 'f2', '2B');
INSERT into coach values(402, 57, 'f1', '3C');
INSERT into coach values(659, 56, 'f2', '3C');
INSERT into coach values(694, 68, 'f4', '1C');
INSERT into coach values(320, 50, 'f4', '2B');
INSERT into coach values(677, 61, 'f3', '3A');
INSERT into coach values(490, 52, 'f1', '3B');
INSERT into coach values(310, 40, 'f3', '2C');
INSERT into coach values(792, 87, 'f3', '3B');
INSERT into coach values(259, 44, 'f3', '3B');
INSERT into coach values(543, 49, 'f2', '2B');
INSERT into coach values(286, 69, 'f3', '3C');
INSERT into coach values(872, 68, 'f1', '1B');
INSERT into coach values(682, 44, 'f3', '3B');
INSERT into coach values(758, 86, 'f1', '1C');
INSERT into coach values(974, 62, 'f2', '3B');
INSERT into coach values(206, 85, 'f2', '1A');
INSERT into coach values(833, 86, 'f3', '1C');
INSERT into coach values(760, 61, 'f4', '2C');
INSERT into coach values(225, 63, 'f2', '3B');
INSERT into coach values(103, 58, 'f3', '1A');
INSERT into coach values(737, 53, 'f4', '1C');
INSERT into coach values(285, 83, 'f4', '2A');
INSERT into coach values(779, 76, 'f4', '3A');
INSERT into coach values(486, 89, 'f3', '3C');
INSERT into coach values(391, 72, 'f3', '1B');
INSERT into coach values(255, 74, 'f2', '2C');
INSERT into coach values(293, 64, 'f2', '1B');
INSERT into coach values(469, 46, 'f3', '3B');
INSERT into coach values(653, 84, 'f4', '2A');
INSERT into coach values(500, 53, 'f4', '1C');
INSERT into coach values(889, 58, 'f4', '3C');
INSERT into coach values(260, 81, 'f3', '2A');
INSERT into coach values(886, 87, 'f1', '2A');
INSERT into coach values(281, 71, 'f3', '2B');
INSERT into coach values(456, 40, 'f3', '3A');
INSERT into coach values(563, 67, 'f3', '1B');
INSERT into coach values(659, 77, 'f4', '3A');
INSERT into coach values(362, 44, 'f3', '1A');
INSERT into coach values(838, 87, 'f3', '1A');
INSERT into coach values(144, 54, 'f1', '3C');
INSERT into coach values(441, 52, 'f2', '3A');
INSERT into coach values(586, 54, 'f4', '1A');
INSERT into coach values(304, 79, 'f4', '3C');
INSERT into coach values(685, 66, 'f1', '1C');
INSERT into coach values(209, 73, 'f2', '1C');
INSERT into coach values(454, 62, 'f2', '2A');
INSERT into coach values(637, 83, 'f1', '1B');
INSERT into coach values(665, 56, 'f3', '1C');
INSERT into coach values(954, 82, 'f3', '3C');
INSERT into coach values(444, 74, 'f4', '3C');
INSERT into coach values(628, 50, 'f2', '2B');
INSERT into coach values(750, 66, 'f1', '3A');
INSERT into coach values(232, 52, 'f2', '3C');
INSERT into coach values(421, 56, 'f2', '3C');
INSERT into coach values(703, 68, 'f4', '3A');
INSERT into coach values(775, 54, 'f4', '1C');
INSERT into coach values(109, 79, 'f2', '2C');
INSERT into coach values(243, 45, 'f3', '3A');
INSERT into coach values(544, 63, 'f4', '3C');
INSERT into coach values(749, 51, 'f2', '2C');
INSERT into coach values(324, 62, 'f2', '2A');
INSERT into coach values(755, 62, 'f2', '1B');
INSERT into coach values(889, 75, 'f2', '2A');
INSERT into coach values(423, 65, 'f3', '3B');
INSERT into coach values(952, 44, 'f3', '1B');
INSERT into coach values(937, 50, 'f4', '3C');
INSERT into coach values(708, 88, 'f4', '1C');
INSERT into coach values(920, 45, 'f1', '3A');
INSERT into coach values(241, 77, 'f2', '1B');
INSERT into coach values(592, 72, 'f1', '3A');
INSERT into coach values(809, 71, 'f1', '1B');
INSERT into coach values(128, 42, 'f2', '2A');
INSERT into coach values(669, 89, 'f2', '1B');
INSERT into coach values(393, 64, 'f4', '3B');
INSERT into coach values(375, 49, 'f2', '1B');
INSERT into coach values(379, 40, 'f1', '1A');
INSERT into coach values(274, 47, 'f1', '2C');
INSERT into coach values(243, 88, 'f4', '3C');
INSERT into coach values(500, 73, 'f2', '3C');
INSERT into coach values(976, 66, 'f3', '3A');
INSERT into coach values(620, 60, 'f3', '1B');
INSERT into coach values(123, 44, 'f4', '2C');
INSERT into coach values(792, 50, 'f3', '3B');
INSERT into coach values(538, 65, 'f3', '3A');
INSERT into coach values(161, 72, 'f4', '3B');
INSERT into coach values(173, 58, 'f4', '3A');
INSERT into coach values(564, 58, 'f4', '1C');
INSERT into coach values(949, 79, 'f2', '2C');
INSERT into coach values(382, 67, 'f1', '2C');
INSERT into coach values(600, 40, 'f1', '3A');
INSERT into coach values(694, 43, 'f3', '3C');
INSERT into coach values(265, 72, 'f3', '1A');
INSERT into coach values(772, 42, 'f2', '1B');
INSERT into coach values(946, 71, 'f2', '2C');
INSERT into coach values(819, 79, 'f4', '2C');
INSERT into coach values(126, 67, 'f2', '1A');
INSERT into coach values(401, 83, 'f4', '3B');
INSERT into coach values(948, 67, 'f4', '2C');
INSERT into coach values(764, 83, 'f4', '2C');
INSERT into coach values(416, 50, 'f3', '1C');
INSERT into coach values(743, 57, 'f4', '1A');
INSERT into coach values(537, 59, 'f4', '1C');
INSERT into coach values(774, 89, 'f2', '1A');
INSERT into coach values(537, 69, 'f3', '2A');
INSERT into coach values(183, 71, 'f3', '1C');
INSERT into coach values(850, 72, 'f1', '1A');
INSERT into coach values(896, 56, 'f3', '2B');
INSERT into coach values(545, 52, 'f3', '2B');
INSERT into coach values(724, 60, 'f1', '3C');
INSERT into coach values(126, 71, 'f4', '2C');
INSERT into coach values(666, 57, 'f1', '2B');
INSERT into coach values(921, 57, 'f4', '2A');
INSERT into coach values(422, 59, 'f3', '3C');
INSERT into coach values(701, 64, 'f1', '2C');
INSERT into coach values(983, 44, 'f2', '3A');
INSERT into coach values(629, 88, 'f2', '1C');
INSERT into coach values(663, 77, 'f1', '1A');
INSERT into coach values(694, 84, 'f2', '2C');
INSERT into coach values(425, 76, 'f2', '2B');
INSERT into coach values(984, 67, 'f4', '1A');
INSERT into coach values(416, 40, 'f4', '3A');
INSERT into coach values(534, 81, 'f3', '3C');
INSERT into coach values(374, 86, 'f3', '3A');
INSERT into coach values(348, 61, 'f3', '1A');
INSERT into coach values(927, 66, 'f2', '2A');
INSERT into coach values(411, 90, 'f4', '3C');
INSERT into coach values(937, 79, 'f3', '1A');
INSERT into coach values(522, 66, 'f1', '3A');
INSERT into coach values(951, 67, 'f1', '2A');
INSERT into coach values(130, 71, 'f4', '1C');
INSERT into coach values(196, 46, 'f2', '3B');
INSERT into coach values(907, 85, 'f3', '1B');
INSERT into coach values(825, 43, 'f2', '1C');
INSERT into coach values(501, 69, 'f2', '2B');
INSERT into coach values(219, 60, 'f1', '1C');
INSERT into coach values(901, 45, 'f3', '2A');
INSERT into coach values(112, 82, 'f1', '2B');
INSERT into coach values(179, 89, 'f4', '2A');
INSERT into coach values(816, 57, 'f3', '1A');
INSERT into coach values(604, 75, 'f3', '3C');
INSERT into coach values(244, 59, 'f1', '2B');
INSERT into coach values(704, 71, 'f1', '1A');
INSERT into coach values(257, 53, 'f2', '2A');
INSERT into coach values(852, 73, 'f1', '1A');
INSERT into coach values(120, 86, 'f1', '2B');
INSERT into coach values(788, 74, 'f2', '3C');
INSERT into coach values(176, 42, 'f1', '1B');
INSERT into coach values(154, 66, 'f3', '2A');
INSERT into coach values(528, 65, 'f1', '3B');
INSERT into coach values(756, 70, 'f2', '1A');
INSERT into coach values(374, 76, 'f1', '2A');
INSERT into coach values(392, 80, 'f2', '1B');
INSERT into coach values(486, 45, 'f2', '2B');
INSERT into coach values(689, 55, 'f2', '1A');
INSERT into coach values(577, 79, 'f1', '2A');
INSERT into coach values(988, 41, 'f1', '3C');
INSERT into coach values(861, 46, 'f2', '1C');
INSERT into coach values(531, 87, 'f2', '1C');
INSERT into coach values(532, 40, 'f4', '2A');
INSERT into coach values(874, 83, 'f3', '1B');
INSERT into coach values(627, 78, 'f2', '2A');
INSERT into coach values(328, 77, 'f4', '2A');
INSERT into coach values(734, 87, 'f3', '1C');
INSERT into coach values(338, 69, 'f2', '1A');
INSERT into coach values(616, 47, 'f3', '2C');
INSERT into coach values(316, 80, 'f2', '2B');
INSERT into coach values(828, 53, 'f3', '2A');
INSERT into coach values(255, 78, 'f1', '1A');
INSERT into coach values(387, 45, 'f3', '3A');
INSERT into coach values(285, 44, 'f1', '3B');
INSERT into coach values(948, 69, 'f3', '3C');
INSERT into coach values(169, 40, 'f4', '2C');
INSERT into coach values(264, 69, 'f3', '3B');
INSERT into coach values(958, 89, 'f3', '2A');
INSERT into coach values(350, 51, 'f2', '1B');
INSERT into coach values(688, 85, 'f3', '3C');
INSERT into coach values(289, 74, 'f1', '3C');
INSERT into coach values(797, 87, 'f2', '3C');
INSERT into coach values(154, 61, 'f2', '1A');
INSERT into coach values(905, 53, 'f2', '1A');
INSERT into coach values(505, 50, 'f4', '1B');
INSERT into coach values(499, 77, 'f1', '2A');
INSERT into coach values(725, 77, 'f1', '3A');
INSERT into coach values(531, 74, 'f3', '1C');
INSERT into coach values(623, 71, 'f1', '1C');
INSERT into coach values(822, 46, 'f4', '2A');
INSERT into coach values(421, 76, 'f2', '3A');
INSERT into coach values(620, 49, 'f4', '2C');
INSERT into coach values(734, 51, 'f4', '1A');
INSERT into coach values(284, 53, 'f1', '3B');
INSERT into coach values(232, 55, 'f3', '3B');
INSERT into coach values(993, 70, 'f1', '1C');
INSERT into coach values(135, 64, 'f2', '2C');
INSERT into coach values(964, 48, 'f3', '3B');
INSERT into coach values(505, 64, 'f1', '3C');
INSERT into coach values(435, 41, 'f1', '1A');
INSERT into coach values(854, 87, 'f3', '1C');
INSERT into coach values(190, 41, 'f1', '3B');
INSERT into coach values(992, 72, 'f1', '3C');
INSERT into coach values(617, 70, 'f2', '3C');
INSERT into coach values(801, 90, 'f1', '3C');
INSERT into coach values(929, 43, 'f1', '2A');
INSERT into coach values(955, 77, 'f2', '1B');
INSERT into coach values(592, 64, 'f1', '1C');
INSERT into coach values(999, 41, 'f3', '1A');
INSERT into coach values(836, 64, 'f2', '3B');
INSERT into coach values(351, 78, 'f2', '1A');
INSERT into coach values(238, 85, 'f4', '1C');
INSERT into coach values(462, 87, 'f1', '2A');
INSERT into coach values(882, 61, 'f1', '2A');
INSERT into coach values(224, 69, 'f2', '1A');
INSERT into coach values(965, 65, 'f3', '1C');
INSERT into coach values(872, 62, 'f1', '2A');
INSERT into coach values(963, 48, 'f4', '1A');
INSERT into coach values(742, 42, 'f4', '2C');
INSERT into coach values(333, 80, 'f4', '3B');
INSERT into coach values(604, 57, 'f3', '2A');
INSERT into coach values(481, 86, 'f3', '2B');
INSERT into coach values(629, 54, 'f2', '3A');
INSERT into coach values(465, 74, 'f3', '2B');
INSERT into coach values(990, 74, 'f3', '2B');
INSERT into coach values(763, 43, 'f2', '1A');
INSERT into coach values(209, 41, 'f2', '1A');
INSERT into coach values(285, 86, 'f4', '3B');
INSERT into coach values(767, 71, 'f3', '3B');
INSERT into coach values(979, 72, 'f4', '3C');
INSERT into coach values(469, 65, 'f3', '3B');
INSERT into coach values(380, 85, 'f2', '1A');
INSERT into coach values(814, 58, 'f1', '3A');
INSERT into coach values(961, 68, 'f1', '2B');
INSERT into coach values(487, 72, 'f2', '3A');
INSERT into coach values(167, 69, 'f3', '2C');
INSERT into coach values(613, 74, 'f2', '2A');
INSERT into coach values(733, 81, 'f4', '2C');
INSERT into coach values(176, 67, 'f1', '3A');
INSERT into coach values(885, 54, 'f1', '3B');
INSERT into coach values(571, 43, 'f1', '3B');
INSERT into coach values(280, 58, 'f2', '3A');
INSERT into coach values(797, 68, 'f3', '2C');
INSERT into coach values(435, 40, 'f3', '1B');
INSERT into coach values(863, 78, 'f1', '3B');
INSERT into coach values(195, 79, 'f3', '1A');
INSERT into coach values(556, 58, 'f2', '1C');
INSERT into coach values(633, 61, 'f1', '2C');
INSERT into coach values(119, 70, 'f1', '2B');
INSERT into coach values(268, 48, 'f1', '2A');
INSERT into coach values(972, 55, 'f2', '2A');
INSERT into coach values(498, 50, 'f1', '3C');
INSERT into coach values(178, 48, 'f3', '3A');
INSERT into coach values(488, 43, 'f4', '1A');
INSERT into coach values(127, 62, 'f4', '2C');
INSERT into coach values(392, 85, 'f1', '3B');
INSERT into coach values(522, 53, 'f1', '2C');
INSERT into coach values(441, 45, 'f2', '3A');
INSERT into coach values(449, 70, 'f4', '3B');
INSERT into coach values(705, 42, 'f3', '2B');
INSERT into coach values(625, 59, 'f4', '2A');
INSERT into coach values(277, 55, 'f2', '2B');
INSERT into coach values(287, 43, 'f3', '3A');
INSERT into coach values(272, 65, 'f3', '3B');
INSERT into coach values(347, 89, 'f4', '3C');
INSERT into coach values(994, 84, 'f1', '2C');
INSERT into coach values(249, 64, 'f2', '1B');
INSERT into coach values(268, 84, 'f3', '2A');
INSERT into coach values(255, 80, 'f3', '3A');
INSERT into coach values(233, 66, 'f3', '1B');
INSERT into coach values(537, 87, 'f4', '1A');
INSERT into coach values(433, 44, 'f4', '3B');
INSERT into coach values(521, 76, 'f3', '1C');
INSERT into coach values(348, 59, 'f3', '1A');
INSERT into coach values(489, 78, 'f1', '3C');
INSERT into coach values(702, 81, 'f3', '2C');
INSERT into coach values(395, 53, 'f4', '2C');
INSERT into coach values(153, 45, 'f3', '2A');
INSERT into coach values(166, 61, 'f4', '3C');
INSERT into coach values(957, 68, 'f1', '1B');
INSERT into coach values(681, 52, 'f3', '2C');
INSERT into coach values(692, 88, 'f3', '2C');
INSERT into coach values(722, 55, 'f3', '1B');
INSERT into coach values(630, 56, 'f1', '2B');
INSERT into coach values(366, 76, 'f4', '2B');
INSERT into coach values(646, 59, 'f2', '3B');
INSERT into coach values(811, 47, 'f3', '3B');
INSERT into coach values(121, 58, 'f3', '2A');
INSERT into coach values(470, 76, 'f3', '1A');
INSERT into coach values(517, 65, 'f3', '1C');
INSERT into coach values(387, 45, 'f4', '1A');
INSERT into coach values(191, 55, 'f3', '3A');
